System,System Name,Sub System,Sub System Name,Sub Sub System,Sub Sub Sytem Name
01,BODY SYSTEM,0101,BODY STRUCTURE SUB SYSTEM,0101H,DEFLECTOR AND SHIELD ( UNDERBODY)
01,BODY SYSTEM,0101,BODY STRUCTURE SUB SYSTEM,0101J,REAR FENDERS
01,BODY SYSTEM,0102,FRONT END,0102A,FRONT STRUCTURE
01,BODY SYSTEM,0102,FRONT END,0102B,GRILL OPNG. PNL/FRT SHT-METAL
01,BODY SYSTEM,0102,FRONT END,0102C,FRONT FENDERS
01,BODY SYSTEM,0102,FRONT END,0102D,DEFLECTORS AND SHIELDS ( FRT END)
01,BODY SYSTEM,0102,FRONT END,0102E,HOOD AND MOUNTING
01,BODY SYSTEM,0102,FRONT END,0102F,HEAD LAMP MOUNTING PANEL
01,BODY SYSTEM,0102,FRONT END,0102G,AERODYNAMIC U/SHIELDS AND A/SPOILER
01,BODY SYSTEM,0103,BODY CLOSURES,0103A,SIDE DOORS
01,BODY SYSTEM,0103,BODY CLOSURES,0103C,REAR DECKLID / T. GATE /L.GATE /B.DOORS
01,BODY SYSTEM,0103,BODY CLOSURES,0103D,STORAGE ACCESS DOORS
01,BODY SYSTEM,0104,SECOND UNIT BODY (CARGO),0104A,CARGO BOX BODY
01,BODY SYSTEM,0104,SECOND UNIT BODY (CARGO),0104C,UNDERBODY CARGO
01,BODY SYSTEM,0104,SECOND UNIT BODY (CARGO),0104E,BODY SIDE CARGO
01,BODY SYSTEM,0104,SECOND UNIT BODY (CARGO),0104F,FRONT END CARGO
01,BODY SYSTEM,0104,SECOND UNIT BODY (CARGO),0104G,REAR END / TAIL GATE CARGO
01,BODY SYSTEM,0105,ROOF TRIM & ORNAMENTATION-INTERIOR,0105A,FLOOR TRIM
01,BODY SYSTEM,0105,ROOF TRIM & ORNAMENTATION-INTERIOR,0105B,COWL TRIM
01,BODY SYSTEM,0105,ROOF TRIM & ORNAMENTATION-INTERIOR,0105C,ROOF INTERIOR TRIM AND ORNAMENTATION
01,BODY SYSTEM,0105,ROOF TRIM & ORNAMENTATION-INTERIOR,0105D,SUNVISORS
01,BODY SYSTEM,0105,ROOF TRIM & ORNAMENTATION-INTERIOR,0105E,SIDE DOOR  INTERIOR TRIM & ORNAMENTATION
01,BODY SYSTEM,0105,ROOF TRIM & ORNAMENTATION-INTERIOR,0105F,RR SD DR- TR AND ORNAMENTATION
01,BODY SYSTEM,0105,ROOF TRIM & ORNAMENTATION-INTERIOR,0105G,BODY SIDE /QTR-INTERIOR TRIM & ORNM
01,BODY SYSTEM,0105,ROOF TRIM & ORNAMENTATION-INTERIOR,0105H,BODY REAR END-INTERIOR TRIM & ORNM
01,BODY SYSTEM,0105,ROOF TRIM & ORNAMENTATION-INTERIOR,0105J,T GATE/L GATE/ B DR-INTERIOR TRIM & ORNM
01,BODY SYSTEM,0105,ROOF TRIM & ORNAMENTATION-INTERIOR,0105K,SLEEPER COMPARTMENT-INTERIOR TRIM & ORNM
01,BODY SYSTEM,0105,ROOF TRIM & ORNAMENTATION-INTERIOR,0105L,INTERIOR ACCESSORY BAR
01,BODY SYSTEM,0106,SOUND AND HEAT CONTROL BODY,0106A,SOUND CONTROL -LESS B. DR/ T.GATE
01,BODY SYSTEM,0106,SOUND AND HEAT CONTROL BODY,0106B,SOUND CONTROL-B. DR/ T.GATE
01,BODY SYSTEM,0106,SOUND AND HEAT CONTROL BODY,0106C,HEAT CONTROL
01,BODY SYSTEM,0107,SEALING,0107A,STATIC WEATHERSTRIPS
01,BODY SYSTEM,0107,SEALING,0107B,DYNAMIC WEATHERSTRIPS
01,BODY SYSTEM,0107,SEALING,0107C,SOFT SEALING
01,BODY SYSTEM,0107,SEALING,0107D,STRUCTURAL ADHESIVES
01,BODY SYSTEM,0107,SEALING,0107E,JOINT FINISHING
01,BODY SYSTEM,0107,SEALING,0107F,SEALING PLUGS / FUNCTIONAL TAPES
01,BODY SYSTEM,0107,SEALING,0107G,DOOR AND QTR. PNL WATERSHIELDS
01,BODY SYSTEM,0108,EXTERIOR TRIM AND ORNAMENTATION,0108A,RADIATOR GRILLE / HEAD LAMP BEZEL
01,BODY SYSTEM,0108,EXTERIOR TRIM AND ORNAMENTATION,0108B,FRONT END-EXTERIOR TRIM & ORNAMENTATION
01,BODY SYSTEM,0108,EXTERIOR TRIM AND ORNAMENTATION,0108C,FRONT END-AIR DAM EXTENSIONS-EXTR TRIM
01,BODY SYSTEM,0108,EXTERIOR TRIM AND ORNAMENTATION,0108D,ROOF TRIM & ORNAMENTATION-EXTERIOR
01,BODY SYSTEM,0108,EXTERIOR TRIM AND ORNAMENTATION,0108E,BODY SIDE/QTR-EXTR TRIM & ORNM
01,BODY SYSTEM,0108,EXTERIOR TRIM AND ORNAMENTATION,0108F,BODY REAR END-EXTERIOR TRIM & ORNM
01,BODY SYSTEM,0108,EXTERIOR TRIM AND ORNAMENTATION,0108G,RR DECKLID/T-GATE/L.GATE-EXTR TRIM &ORNM
01,BODY SYSTEM,0108,EXTERIOR TRIM AND ORNAMENTATION,0108H,EXTERIOR ACCESSORY BAR
01,BODY SYSTEM,0108,EXTERIOR TRIM AND ORNAMENTATION,0108J,EXTERIOR STEPS & GRAB HANDLES
01,BODY SYSTEM,0109,REAR VIEW MIRROR,0109A,INSIDE MIRRORS
01,BODY SYSTEM,0109,REAR VIEW MIRROR,0109B,OUTSIDE MIRRORS
01,BODY SYSTEM,0109,REAR VIEW MIRROR,0109E,MIRROR POSITION CONTROLS
01,BODY SYSTEM,0110,SEATING,0110A,FRT SEAT TRIM/ORNAMENTS
